userId,song
1,Little Swing
1,White Teeth Teens
1,Team
2,Superheroes
2,Centuries
2,Best Day Of My Life
2,On Top Of The World
3,Beggin For Thread
3,Ways To Go
3,Lampshades on Fire
3,Primadonna
4,Firebird
4,Scared to Be Lonely
4,Carmalude
5,All My Love
5,Coming Home
5,Sound of the Sea
6,You Give Love A Bad Name
7,A Walk
7,Tell Me
7,Paracosm
7,Feel It All Around
8,Wake Up
8,Controlla
8,Work
8,One Dance
8,Crazy
9,One Dance
9,Work from Home
9,Wild Things
9,Into You
9,Be Alright
10,Surfer Girl
10,Little Deuce Coupe
10,In My Room
10,My Girl
11,Mint Leaf
11,pink skies
11,Cough Syrup
11,Soap
11,Puzzle Pieces
12,Feels
12,I Like Me Better
12,New Rules
12,Strip That Down
13,Hold On Loosely
13,Dream On
13,Wildflowers
14,Come On Get Higher
14,Thunder Clatter
14,Landslide
14,Stolen Dance
15,Free Somebody
15,what U need
15,Why
16,Nightmare
17,Coleccionista de Canciones
17,Mientes
17,Yo Quiero
17,No Veo la Hora
18,Come Back
18,No Matter Where You Are
18,Hold Back The River
19,Once In a While
19,A closeness
19,7 Years
19,The Wolf
20,Creep
20,Smells Like Teen Spirit
20,Black Hole Sun
20,Give It Away
20,What I Got
21,Die A Happy Man
21,It Goes Like This
21,My House
21,Cruise
22,Fight Song
22,I Need Your Love
22,2 Heads
22,I Really Like You
23,Shape of You
23,goosebumps
23,Strip That Down
24,Tunnel Vision
24,Dennis Rodman
24,Gorgeous
24,The Life Of A Troubadour
25,Believe Me
25,Man Of The Year
25,Krazy
25,Black Skinhead
26,Come Get Her
26,Heatstroke
26,The Let Out
27,Barbed Wire
27,Backseat Freestyle
27,Money Trees
27,Poetic Justice
28,Umbrella
28,Rude Boy
28,In Da Club
29,Wake Me Up When September Ends
29,Fall For You
29,My Heart Will Go On
30,Bust A Move
30,Accidentally In Love
30,Are You Gonna Be My Girl
31,Uptown Girl
31,Take Me Home Tonight
31,The Joker
31,Your Love
32,Picky
32,On My Mind
32,Wolves
33,Fireball
33,Different Sound
33,Feel This Moment
34,Desperado
34,Tequila Sunrise
34,One Of These Nights
35,Pop Style
35,One Dance
35,Childs Play
35,Controlla
35,With You
36,Bad of the Heart
36,Look Into My Eyes
36,Inside Outside
37,Work
37,Technicolour Beat
37,Coffee
38,Smells Like Teen Spirit
38,Tighten Up
38,Seven Nation Army
38,Adagio For Strings
38,Chi Mai
39,Another Sad Love Song
39,Saved
39,Peaches N Cream
39,Bounce Back
40,Beautiful
40,U Smile
40,Whatcha Say
41,Jesus And Bocephus
41,Head Over Boots
41,Die A Happy Man
41,Tennessee Whiskey
42,Sangria
42,Kick The Dust Up
42,Drunk On You
43,American Woman
43,Studio
44,Unbelievers
44,Horchata
44,Oxford Comma
44,White Sky
45,XO
45,Forever And Always
45,Your Song
46,Princess of China
46,Shape of You
46,On My Mind
46,She Lit A Fire
47,Gwan Big Up Urself
47,How I Feel
47,Down Girl
47,Why
47,Healing Hands
48,Go Fuck Yourself
48,Kissing Faded
48,Right Time
49,6 Man
49,10 Bands
49,Energy
50,Cowboy
50,Welcome to La
50,King Of Everything
51,Alive
51,Black
51,Even Flow
51,Interstate Love Song
51,Through Glass
52,Your Graduation
52,Tears Over Beers
52,Rock Bottom
52,Broken Cash Machine
53,BITE
53,BLUE
53,WILD
54,Lights
54,Dust in the Wind
54,Young
55,Happy Song
55,Serotonia
55,Dead Inside
55,Bound For The Floor
56,Shots
56,Clique
57,Cheap Thrills
57,Riptide
57,Without Me
59,Party Rock Anthem
59,I Can Make Your Hands Clap
59,Cupid Shuffle
60,Pobre Diabla
61,Just Like Heaven
61,Lovesong
62,Best I Ever Had
62,Shake That
62,Work It
63,Angela
63,Issues
64,Boyfriend
64,Crazy For You
64,Goodbye
64,The End
64,I Want To
65,When I Grow Up
65,Die Trying
65,Mango Nectar
66,Little Drummer Boy
66,What Christmas Means To Me
67,Amelia
67,Keep Myself Alive
67,The Cheap Bouquet
68,Something Just Like This
68,Paris
68,Closer
68,Body Like A Back Road
69,What You Give Is What You Get
69,Lay It Down
69,Round and Round
70,Riptide
70,Open
70,Lazuli
70,Banana Pancakes
71,Grave
71,Greatest Love Story
71,Wannabe
71,I Want Us
71,Get to You
72,Latch
72,Dark Horse
73,Bounce
74,Sweet Disposition
74,Take Me Out
75,Adventure Of A Lifetime
75,Focus
75,Cake By The Ocean
75,On My Mind
76,Havana
76,Down
77,Hotline Bling
77,Four Door Aventador
78,Sideline Number
78,That Way
78,Shutter Island
78,Blame Game
79,Want You Back
79,Right Now
79,Malibu
79,Goodbye Soleil
80,Fever
80,Jook So
80,Kotch
81,Just Around The Riverbend
81,The Siamese Cat Song
81,Upendi
81,One Last Hope
82,Trap Queen
82,Bad Ass
83,Shape of You
83,Superman
84,Not About Angels
84,What Now
84,Breathe Me
84,Turning Tables
84,Let It Go
85,Say You Love Me
85,Expectations
85,Crush
85,Waiting Game
86,Would You Ever
86,Sorry Not Sorry
86,Stargazing
86,Unforgettable
87,Rooster
87,Man in the Box
87,Nutshell
87,Down In A Hole
88,Little Black Dress
88,Kangaroo Court
88,Everything She Wants
88,I Want You
89,Waterfalls
89,Ride Wit Me
89,Leave The Night On
90,Music For Love
90,Stole the Show
90,Hello
90,Sorry
90,Kaleidoscope
91,Lovergirl
91,Out On a Limb
91,Square Biz
91,Candy
92,Call Me In The Afternoon
92,Capsize
92,Tuxedo
92,Wherever I Go
92,The Chase
93,Lost In The World
93,Stuck On a Feeling
94,Let Go
94,Hallucinate
94,Touch
95,Straight Up
95,Will You Marry Me
96,Carol Of The Bells
97,Always Like This
97,The Wolves and the Ravens
98,Side To Side
98,Strip That Down
98,Attention
99,Encantadora
99,Promise
99,6 AM
99,Stand by Me
100,Gunwalk
100,Trigger Finger
100,Not Afraid
100,SupaFreak
100,Lose My Mind
101,Let It Happen
101,Fuck With Myself
101,3
102,Girls Just Want to Have Fun
102,Billie Jean
102,I Want Candy
103,Happier
103,Barcelona
103,Supermarket Flowers
103,Galway Girl
103,Something Just Like This
104,Uptown Funk
104,I Gotta Feeling
104,Work This Body
105,Beat Of My Drum
105,Too Much Time Together
105,How I Want Ya
105,Follow You
106,Ramble On
106,Soul Kitchen
106,Sympathy For The Devil
106,House Of The Rising Sun
107,Low Life
108,Claudine
108,So Young
108,No Spare Parts
109,Another Sad Love Song
109,Green Light
109,Die Young
109,Fantastic
110,Hype
110,Weston Road Flows
110,Faithful
110,Still Here
110,Controlla
111,1000 Nights
111,Knives
112,Take a Walk
112,Too Close
112,Humming Bird
112,Treading Water
113,Blurred Lines
113,Just Breathe
113,Crush
114,Sk8er Boi
114,Come Clean
114,One In A Million
114,Come Back To Me
115,Beat It
115,Shortie Like Mine
115,Touch My Body
115,New Flame
116,Wonder
116,Tongues
116,Scenic World
116,If I Could Change Your Mind
117,Mind Reader
117,When She Says Baby
117,Wagon Wheel
117,Better in Boots
118,Come a Little Closer
118,Notion
118,Revelry
118,Closer
118,Lazy Eye
119,Best I Ever Had
120,American Kids
120,Shut Up and Dance
120,Vacation
121,Marvins Room
121,Thinkin Bout You
121,You Found Me
122,No You Girls
122,Aberdeen
122,Today
122,No Surprises
122,Winter Song
123,Simple Man
123,The Joker
124,Alright
124,Kick The Dust Up
124,Wasted Time
124,Rock On
125,Stop Your Crying
126,Roar
126,This Is How We Do
126,It Was Always You
127,Under Ground Kings
127,Crew Love
127,Lord Knows
128,Cigarette Daydreams
128,Come a Little Closer
128,Back Against The Wall
128,Aberdeen
128,Someday
129,Go Home
129,Medicine
129,Men Of Snow
130,25 Minutes
130,Take Me To Your Heart
130,Paint My Love
131,Ima Boy
131,Boss Ass Bitch
131,Rack City
131,U Guessed It
131,IDGAF
132,Happy
132,Marry You
132,I Do
133,Loro
133,Roses
134,Crash into Me
134,Time After Time
134,Brown Eyed Girl
134,Your Body Is a Wonderland
135,Dopeman
135,Look Alive
135,Bricks
136,Shake It
136,Beverly Hills
136,Look At Me Now
136,Beautiful Girls
137,Climax
137,Trap Queen
137,Want to Want Me
137,Uptown Funk
138,Land of Hope and Dreams
138,The Great Pretender
139,Stimulated
139,I Like Tuh
139,Big Rings
140,Controlla
140,Lockjaw
141,Todavia
141,Le Hace Falta un Beso
141,Una Vez Mas
141,Y Voy a Amarte
141,El Problemon
142,Billie Jean
142,New Soul
142,Unwritten
143,Glory Come Down
143,Hallelujah
143,Calling On Fire
144,Gotta Have It
144,All Day
144,Under Pressure
145,Face Everything and Rise
145,Alpha
145,No Way Out
145,My Cocaine
145,Forever
146,Fantastic Voyage
146,Feel Me Flow
146,Ghetto Cowboy
147,Down On The Corner
147,Renegade
148,Move On
148,Loud Places
148,You Are The Ocean
148,Warm On A Cold Night
148,Two Weeks
149,Ride
149,Riptide
149,Heathens
150,Wanna Be That Song
150,The Devil Went Down to Georgia
150,Everybody We Know Does
150,Carolina Can
150,Gonna Wanna Tonight
151,Circles
151,Psycho
152,Nothing Can Change This Love
152,Love Me Tender
153,Wasteland
154,Genie in a Bottle
154,I Want It That Way
155,Closer
155,Die A Happy Man
155,Shape of You
156,Hey Joe
156,Purple Haze
156,All Along the Watchtower
158,Ride Shotgun
158,7am
158,Congratulations
159,Gas Pedal
159,Walked In
160,Jumpman
160,Comfortable
160,Trap Queen
161,This Christmas
162,The Climb
162,Trap Queen
163,Pink Houses
163,American Woman
164,Moon
164,I Only See You
164,VCR
164,Ho Hey
164,Runaway
165,We Belong Together
165,Foolish
165,Ride Wit Me
166,Wanted
166,Gonna
167,Impatient
167,Pass Dat
167,Wonderful
168,Lazy Afternoon
168,Your House
168,Gone Today
168,Amber
169,Circles
169,2 Heads
169,Chingalinga
171,All The Way Up
171,No Limit
172,Is This Love
172,Exchange
172,One Wish
172,Passionfruit
173,Photograph
173,Renegades
173,Love Me Like You
173,Wings
174,La Danza Bella
174,5 Letras
174,Bartender
174,Ojos Que No Ven
174,Gata Michu Michu
175,A Beautiful Mess
175,If It Kills Me
175,Bella Luna
176,American Honey
176,Why Ya Wanna
176,American Kids
176,Take A Back Road
177,Sure Thing
177,Over My Dead Body
177,Doing It Wrong
177,The Real Her
178,Jordan Belfort
179,Congratulations
179,Still Here
179,What in XXXTarnation
180,Comfortably Numb
180,Time
180,Money
180,Sultans Of Swing
181,talk is overrated
181,i miss the old u
181,if i could i would feel nothing
181,Rollin
181,Slide
182,Bounce Back
182,Bad Romance
182,Starboy
183,Cash Machine
184,Get On Up
185,Keep Your Head Up
185,Hallelujah
186,Diving with Whales
186,Whole Heart
186,Home
187,Here
187,Outlaws
187,Four Pink Walls
187,Feel Your Love
188,Congratulations
189,goosebumps
189,Bounce Back
189,Reminder
190,Amazed
190,Making Love Out of Nothing at All
190,All Out of Love
190,Take My Breath Away
191,I Want to Know
191,Take It From Me
191,Come with Me Now
191,7 Years
191,Kids These Days
192,Jealous
192,Make It To Me
193,Centuries
193,Body Language
194,God I Look to You
195,Formation
195,Pusherman
195,Work
196,Beyond The Veil
196,Mirror Haus
196,Shatter Me
196,Heist
197,No Diggity
197,Empire State Of Mind
197,Neighbors Know My Name
199,You Found Me
199,Galileo
199,Fantasy
199,You Can Call Me Al
199,Born This Way
200,I Want You Back
200,Spirit In The Sky
201,The Driver
201,Humble And Kind
202,Headlines
202,Gang Related
202,Bruddas
203,The Middle
204,Beautiful Girls
204,Fireflies
205,Me And You
205,Cough Syrup
206,Brand New Fall
206,The Fifteenth Day
206,The Ides
206,Naked Trees
206,Kids in the Kitchen
208,Fresh Eyes
208,Miss You
208,Cocoa Butter Kisses
209,I Need Some Sleep
209,Ophelia
209,To Be Alone With You
209,Hello
209,I Will Follow You Into The Dark
210,Cool Girl
210,Me Too
210,Say It
210,Technically Single
211,One Last Time
211,The Nights
211,Alone
212,Lose Control
212,America
212,Under Pressure
213,Thinking Out Loud
213,Steal My Girl
213,Sleep Baby Sleep
213,Bridges
213,Jackie And Wilson
214,Iris
214,Inside Out
214,Fast Car
215,Marry Me
215,Down In The Valley
215,Heaven Forbid
215,All My Days
216,goosebumps
216,Unforgettable
216,Yeah Right
217,Cuando Me Enamoro
217,Heroe
217,No Me Digas Que No
217,Al Pasar
218,Life Of The Party
218,Stitches
218,Never Be Alone
219,Sugar
219,Thinking Out Loud
219,Take Me To Church
220,Budapest
220,Year 3000
220,Just The Girl
220,1985
221,Lift Me Up
221,Clubhouse
222,Keep It Trill
222,Ratchets
222,Ayy Ladies
222,Soldier
222,Love Me
223,Classic
224,Island In The Sun
226,Backroad Song
226,Long Black Train
226,Blame It On Waylon
226,Beer On The Table
227,Brown Eyed Girl
227,Surrender
228,The Age of Worry
228,Gravity
228,Heartbreak Warfare
229,Where Are You Going
229,Ripple
229,The Joker
231,Welcome Back
231,Ride Wit Me
231,Turn Me On
232,Dancing On My Own
232,Can I Be Him
232,Try Love
233,Hideaway
233,Never Say Never
234,Hypnotized
234,Crazy For You
234,Hypnotized
234,Angel
234,Foolish
235,Party Monster
235,I Feel It Coming
235,Fake Love
236,Never Surrender
236,Red Eye
237,Pandemonium
238,Here Comes Your Man
238,Hey
238,Under The Bridge
238,Otherside
239,Million Dollar Bills
239,The Love Club
239,Glory And Gore
239,White Teeth Teens
239,Team
240,Boss
240,Gucci Gang
